电影名称,导演,电影类型,国家,上映年份,评分,评论人数
爆裂鼓手,达米恩·查泽雷,剧情/音乐,美国,2014,8.7,631019
东京教父,今敏,剧情/喜剧/动画,日本,2003,9.0,261555
魔女宅急便,宫崎骏,动画/奇幻/冒险,日本,1989,8.7,495627
末路狂花,雷德利·斯科特,剧情/惊悚/犯罪,美国 / 英国 / 法国,1991,9.0,301913
大佛普拉斯,黄信尧,剧情/喜剧,中国台湾,2017,8.7,514155
遗愿清单,罗伯·莱纳,剧情/喜剧/冒险,美国,2007,8.7,502248
贫民窟的百万富翁,丹尼·博伊尔,剧情/爱情,英国,2008,8.6,780502
东邪西毒,王家卫,剧情/动作/爱情/武侠/古装,中国香港 / 中国台湾,1994,8.6,607170
你看起来好像很好吃,藤森雅也,剧情/动画/儿童,日本,2010,8.9,354435
高山下的花环,谢晋,剧情/战争,中国大陆,1984,9.5,125308
源代码,邓肯·琼斯,科幻/悬疑/惊悚,美国 / 加拿大,2011,8.5,883278
可可西里,陆川,剧情/犯罪,中国大陆 / 中国香港,2004,8.9,325861
疯狂的麦克斯4：狂暴之路,乔治·米勒,动作/科幻/冒险,澳大利亚 / 美国,2015,8.7,585206
城市之光,查理·卓别林,剧情/喜剧/爱情,美国,1931,9.3,160122
海边的曼彻斯特,肯尼思·洛纳根,剧情/家庭,美国,2016,8.6,604009
波西米亚狂想曲,布莱恩·辛格,剧情/同性/音乐/传记,英国 / 美国,2018,8.6,653115
黑天鹅,达伦·阿伦诺夫斯基,剧情/惊悚,美国,2010,8.6,815611
芙蓉镇,谢晋,剧情/爱情,中国大陆,1987,9.3,165130
真爱至上,理查德·柯蒂斯,剧情/喜剧/爱情,英国 / 美国 / 法国,2003,8.5,772438
雨人,巴瑞·莱文森,剧情,美国,1988,8.7,426062
花束般的恋爱,土井裕泰,剧情/爱情,日本,2021,8.6,730936
终结者2：审判日,詹姆斯·卡梅隆,动作/科幻,美国 / 法国,1991,8.8,363323
人工智能,史蒂文·斯皮尔伯格,剧情/科幻,美国 / 英国,2001,8.7,476437
虎口脱险,热拉尔·乌里,喜剧/战争,法国 / 英国,1966,8.9,277627
无耻混蛋,昆汀·塔伦蒂诺,剧情/犯罪,德国 / 美国,2009,8.7,518464
恋恋笔记本,尼克·卡萨维蒂,剧情/爱情,美国,2004,8.5,715260
新龙门客栈,李惠民,动作/爱情/武侠/古装,中国香港 / 中国大陆,1992,8.7,476524
哈利·波特与死亡圣器(上),大卫·叶茨,奇幻/冒险,英国 / 美国,2010,8.6,635186
白日梦想家,本·斯蒂勒,剧情/喜剧/冒险,美国 / 英国,2013,8.6,573264
崖上的波妞,宫崎骏,动画/奇幻/冒险,日本,2008,8.6,539441
罗生门,黑泽明,剧情/悬疑/犯罪,日本,1950,8.8,337983
千钧一发,安德鲁·尼科尔,剧情/科幻/惊悚,美国,1997,8.8,325937
彗星来的那一夜,詹姆斯·沃德·布柯特,科幻/悬疑/惊悚,美国 / 英国,2013,8.6,637573
黑客帝国2：重装上阵,拉娜·沃卓斯基,动作/科幻,美国,2003,8.7,431952
萤火虫之墓,高畑勋,剧情/动画/战争,日本,1988,8.7,423552
哈利·波特与凤凰社,大卫·叶茨,奇幻/冒险,英国 / 美国,2007,8.5,639208
火星救援,雷德利·斯科特,剧情/科幻/冒险,英国 / 美国 / 匈牙利 / 约旦,2015,8.5,786089
奇迹男孩,斯蒂芬·卓博斯基,剧情/家庭/儿童,美国 / 中国香港,2017,8.6,578039
机器人之梦,巴勃罗·贝格尔,剧情/动画/音乐,西班牙 / 法国,2023,9.0,233331
二十二,郭柯,纪录片,中国大陆,2015,8.7,304295
战争之王,安德鲁·尼科尔,剧情/犯罪,美国 / 德国,2005,8.7,394272
步履不停,是枝裕和,剧情/家庭,日本,2008,8.8,302862
血钻,爱德华·兹威克,剧情/惊悚/冒险,美国 / 德国 / 英国,2006,8.7,403584
千年女优,今敏,剧情/爱情/动画,日本,2001,8.8,296550
谍影重重2,保罗·格林格拉斯,动作/悬疑/惊悚,美国 / 德国,2004,8.7,376768
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂,动作/科幻/动画/冒险,美国,2018,8.6,716528
弱点,约翰·李·汉考克,剧情/家庭/传记/运动,美国,2009,8.7,336532
谍影重重,道格·里曼,动作/悬疑/惊悚,美国 / 德国 / 捷克,2002,8.6,458525
隐藏人物,西奥多·梅尔菲,剧情/传记/历史,美国,2016,8.9,244367
朗读者,史蒂芬·戴德利,剧情/爱情,美国 / 德国,2008,8.6,473160
阿飞正传,王家卫,剧情/爱情/犯罪,中国香港,1990,8.5,543755
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
肖申克的救赎,弗兰克·德拉邦特,剧情/犯罪,美国,1994,9.7,3087224
霸王别姬,陈凯歌,剧情/爱情/同性,中国大陆 / 中国香港,1993,9.6,2278730
阿甘正传,罗伯特·泽米吉斯,剧情/爱情,美国,1994,9.5,2298058
泰坦尼克号,詹姆斯·卡梅隆,剧情/爱情/灾难,美国 / 墨西哥,1997,9.5,2338767
千与千寻,宫崎骏,剧情/动画/奇幻,日本,2001,9.4,2387130
美丽人生,罗伯托·贝尼尼,剧情/喜剧/爱情/战争,意大利,1997,9.5,1404418
这个杀手不太冷,吕克·贝松,剧情/动作/犯罪,法国 / 美国,1994,9.4,2435257
星际穿越,克里斯托弗·诺兰,剧情/科幻/冒险,美国 / 英国 / 加拿大,2014,9.4,2010405
盗梦空间,克里斯托弗·诺兰,剧情/科幻/悬疑/冒险,美国 / 英国,2010,9.4,2197766
楚门的世界,彼得·威尔,剧情/科幻,美国,1998,9.4,1868473
辛德勒的名单,史蒂文·斯皮尔伯格,剧情/历史/战争,美国,1993,9.5,1187316
忠犬八公的故事,拉斯·霍尔斯道姆,剧情,美国 / 英国,2009,9.4,1469785
